Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
IT'z SUMMER,ITZY,IT'z ICY,5Xb03XAF2LoaMqbM38H9eB,1F3q83uRQ1aO9LmaEUzYox,42,2019-07-29,197898,False,https://open.spotify.com/track/1F3q83uRQ1aO9LmaEUzYox,0.815,0.867,7,-4.203,1,0.0434,0.024,0.000128,0.127,0.646,126.021
WANNABE,ITZY,IT'z ME,7ynKAohxfwPUZzvU8f1p1U,4pspYVQGFHLPEFgQPD1J7e,73,2020-03-09,191242,False,https://open.spotify.com/track/4pspYVQGFHLPEFgQPD1J7e,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035
TING TING TING (with Oliver Heldens),"ITZY, Oliver Heldens",IT'z ME,7ynKAohxfwPUZzvU8f1p1U,4RNqQdwEk03s14HLRXJ9aD,44,2020-03-09,219143,False,https://open.spotify.com/track/4RNqQdwEk03s14HLRXJ9aD,0.86,0.845,5,-3.652,0,0.105,0.0228,0.000284,0.324,0.835,123.968
THAT’S A NO NO,ITZY,IT'z ME,7ynKAohxfwPUZzvU8f1p1U,0q1NTsO5b93R97JdQxtFGx,44,2020-03-09,180180,False,https://open.spotify.com/track/0q1NTsO5b93R97JdQxtFGx,0.778,0.924,2,-4.915,1,0.0788,0.0151,1.93e-05,0.183,0.776,120.048
NOBODY LIKE YOU,ITZY,IT'z ME,7ynKAohxfwPUZzvU8f1p1U,4YUqGDMd1yJAa5i2ShysI6,44,2020-03-09,197125,False,https://open.spotify.com/track/4YUqGDMd1yJAa5i2ShysI6,0.693,0.868,7,-5.321,1,0.065,0.0359,0.0,0.193,0.716,90.024
YOU MAKE ME,ITZY,IT'z ME,7ynKAohxfwPUZzvU8f1p1U,3ehpqyAGlcbI6Qx2bbawcx,39,2020-03-09,183164,False,https://open.spotify.com/track/3ehpqyAGlcbI6Qx2bbawcx,0.703,0.723,1,-5.306,0,0.0858,0.0264,0.000227,0.0633,0.606,170.055
I DON’T WANNA DANCE,ITZY,IT'z ME,7ynKAohxfwPUZzvU8f1p1U,4WzPXQ6z0JhJWyc43cAMMX,40,2020-03-09,189813,False,https://open.spotify.com/track/4WzPXQ6z0JhJWyc43cAMMX,0.799,0.885,11,-5.537,0,0.0761,0.0235,0.0201,0.365,0.804,124.023
24HRS,ITZY,IT'z ME,7ynKAohxfwPUZzvU8f1p1U,5aNuBrqbdJ8r9qFZHliWxR,41,2020-03-09,127406,False,https://open.spotify.com/track/5aNuBrqbdJ8r9qFZHliWxR,0.932,0.614,11,-5.967,0,0.208,0.0502,0.0,0.386,0.795,99.994
Not Shy,ITZY,Not Shy,5NN55LKbjzX16a7Uf8u7Os,1ehags7lQMM1qX94VJkoaf,68,2020-08-17,177728,False,https://open.spotify.com/track/1ehags7lQMM1qX94VJkoaf,0.776,0.911,2,-3.08,0,0.131,0.155,2.59e-06,0.268,0.56,101.027
Don’t Give A What,ITZY,Not Shy,5NN55LKbjzX16a7Uf8u7Os,4bjZomvqHkYJ6cIoyOAjrG,41,2020-08-17,196840,False,https://open.spotify.com/track/4bjZomvqHkYJ6cIoyOAjrG,0.735,0.949,11,-2.926,0,0.128,0.112,0.0,0.545,0.779,123.999
Louder,ITZY,Not Shy,5NN55LKbjzX16a7Uf8u7Os,39pv61XfYr9MUwsYkx30aQ,38,2020-08-17,201055,False,https://open.spotify.com/track/39pv61XfYr9MUwsYkx30aQ,0.886,0.936,3,-2.423,0,0.0496,0.173,0.00146,0.0761,0.853,115.986
iD,ITZY,Not Shy,5NN55LKbjzX16a7Uf8u7Os,6jfwYW9fmEAbbRxx42F5Kw,40,2020-08-17,206554,False,https://open.spotify.com/track/6jfwYW9fmEAbbRxx42F5Kw,0.942,0.849,11,-3.133,0,0.177,0.182,0.00753,0.334,0.804,120.012
SURF,ITZY,Not Shy,5NN55LKbjzX16a7Uf8u7Os,5rAjh9qDtJalKfwgxNk2vt,45,2020-08-17,193932,False,https://open.spotify.com/track/5rAjh9qDtJalKfwgxNk2vt,0.843,0.813,9,-3.114,1,0.0475,0.11,0.0,0.0575,0.787,111.977
Be In Love,ITZY,Not Shy,5NN55LKbjzX16a7Uf8u7Os,0FGeJSm4Iix7OdvjvENrwx,44,2020-08-17,200033,False,https://open.spotify.com/track/0FGeJSm4Iix7OdvjvENrwx,0.77,0.711,7,-5.446,1,0.0624,0.0299,7.07e-05,0.0781,0.618,95.023
Not Shy - English Ver.,ITZY,Not Shy (English Ver.),0hoNwSKuuOeT9eAxopgMdm,2p0WmvGmzE3mKr3lc6ZB9g,42,2021-01-22,177743,False,https://open.spotify.com/track/2p0WmvGmzE3mKr3lc6ZB9g,0.766,0.902,2,-2.991,0,0.0681,0.283,2.75e-06,0.156,0.625,100.988
WANNABE - English Ver.,ITZY,Not Shy (English Ver.),0hoNwSKuuOeT9eAxopgMdm,2cnhL9Xb7jlTuUs4taxJSB,44,2021-01-22,191242,False,https://open.spotify.com/track/2cnhL9Xb7jlTuUs4taxJSB,0.822,0.902,6,-4.18,0,0.0587,0.00392,0.000102,0.192,0.69,122.004
ICY - English Ver.,ITZY,Not Shy (English Ver.),0hoNwSKuuOeT9eAxopgMdm,0H76idYK173LwctmFntEdz,37,2021-01-22,191129,False,https://open.spotify.com/track/0H76idYK173LwctmFntEdz,0.82,0.901,9,-2.712,0,0.111,0.0289,1.7e-06,0.215,0.815,124.988
DALLA DALLA - English Ver.,ITZY,Not Shy (English Ver.),0hoNwSKuuOeT9eAxopgMdm,1tQMEpkJ6ayK5w9mtW3Tqv,39,2021-01-22,199874,False,https://open.spotify.com/track/1tQMEpkJ6ayK5w9mtW3Tqv,0.813,0.861,11,-4.601,0,0.0624,0.00102,9.42e-06,0.329,0.696,125.014
Trust Me (MIDZY),ITZY,Trust Me (MIDZY),7EHXDcznIDHxNWTSPBf9Po,4ckfsMiX0wBKwaxIJCXxsJ,45,2021-03-20,221639,False,https://open.spotify.com/track/4ckfsMiX0wBKwaxIJCXxsJ,0.607,0.525,2,-5.853,1,0.0432,0.225,0.0,0.0986,0.369,159.838
Trust Me (MIDZY) - English Ver.,ITZY,Trust Me (MIDZY),7EHXDcznIDHxNWTSPBf9Po,4mxTIuAUcLXpxJ1gCSoteJ,35,2021-03-20,221639,False,https://open.spotify.com/track/4mxTIuAUcLXpxJ1gCSoteJ,0.589,0.552,2,-5.837,1,0.0458,0.2,0.0,0.122,0.379,159.937
In the morning,ITZY,GUESS WHO,4lS8nhX8cplsYPzKjvhw6G,1Wcr8zrKqbUX0zwN8Dbr16,68,2021-04-30,172373,False,https://open.spotify.com/track/1Wcr8zrKqbUX0zwN8Dbr16,0.846,0.814,6,-4.685,0,0.149,0.0823,0.00094,0.13,0.722,140.055
Sorry Not Sorry,ITZY,GUESS WHO,4lS8nhX8cplsYPzKjvhw6G,4BV9bZOeH869aewS9lwTtM,50,2021-04-30,189787,False,https://open.spotify.com/track/4BV9bZOeH869aewS9lwTtM,0.645,0.885,11,-3.105,0,0.0992,0.0984,0.0,0.278,0.656,158.032
KIDDING ME,ITZY,GUESS WHO,4lS8nhX8cplsYPzKjvhw6G,74WtkDIkOXTtEVO4TatDMX,47,2021-04-30,213960,False,https://open.spotify.com/track/74WtkDIkOXTtEVO4TatDMX,0.76,0.77,8,-4.271,1,0.0367,0.215,0.0,0.182,0.415,137.973
Wild Wild West,ITZY,GUESS WHO,4lS8nhX8cplsYPzKjvhw6G,3mRcVmaJlodmb7eensMMfZ,42,2021-04-30,203427,False,https://open.spotify.com/track/3mRcVmaJlodmb7eensMMfZ,0.869,0.865,5,-3.723,0,0.0792,0.0696,4e-06,0.0609,0.713,100.02
SHOOT!,ITZY,GUESS WHO,4lS8nhX8cplsYPzKjvhw6G,2xeaHUnzzT5Kc974OQt1kA,65,2021-04-30,139213,False,https://open.spotify.com/track/2xeaHUnzzT5Kc974OQt1kA,0.852,0.762,6,-4.448,0,0.0487,0.333,1.66e-06,0.159,0.907,131.958
TENNIS (0:0),ITZY,GUESS WHO,4lS8nhX8cplsYPzKjvhw6G,6wSBcV4mjwiVKGJzNrgwha,42,2021-04-30,219453,False,https://open.spotify.com/track/6wSBcV4mjwiVKGJzNrgwha,0.85,0.665,0,-4.12,1,0.0522,0.126,0.0,0.186,0.718,142.026
In the morning - English Ver.,ITZY,In the morning (English Ver.),1VbG3CJlf1cSVDibgiM3GM,0rXBxNaEX9pJSV8U7xYUXr,41,2021-05-14,172373,False,https://open.spotify.com/track/0rXBxNaEX9pJSV8U7xYUXr,0.834,0.786,11,-4.398,0,0.168,0.0672,2.21e-05,0.0701,0.757,140.108
Break Ice,"Second Aunt KimDaVi, ITZY",Break Ice,3OzSEoUPp5sNGtzXftotKm,4iEeJKOE5zjsRbWBGkj9lS,40,2021-07-01,176907,False,https://open.spotify.com/track/4iEeJKOE5zjsRbWBGkj9lS,0.736,0.778,1,-2.554,1,0.03,0.255,0.0,0.113,0.281,96.023
LOCO,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,56Yxkm62GtEpnPyG7TvwLY,72,2021-09-24,191462,False,https://open.spotify.com/track/56Yxkm62GtEpnPyG7TvwLY,0.759,0.886,1,-3.067,1,0.187,0.0103,2.04e-05,0.342,0.489,102.065
SWIPE,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,5o0urLKhjQLIFMoJH5SSrY,60,2021-09-24,177893,False,https://open.spotify.com/track/5o0urLKhjQLIFMoJH5SSrY,0.781,0.757,1,-4.268,1,0.0547,0.00151,0.0,0.19,0.666,96.009
Sooo LUCKY,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,6zqZfHvp3f9r4AF6G7Nhgl,45,2021-09-24,202280,False,https://open.spotify.com/track/6zqZfHvp3f9r4AF6G7Nhgl,0.746,0.857,11,-3.089,1,0.0519,0.0176,0.0,0.0859,0.612,112.974
#Twenty,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,0deWmYkaZHaElUm15oVXkE,54,2021-09-24,174440,False,https://open.spotify.com/track/0deWmYkaZHaElUm15oVXkE,0.956,0.714,1,-5.12,1,0.197,0.0969,0.0,0.069,0.62,128.051
B[OO]M-BOXX,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,2RMQFfyDZEyF6Bm8lCdEYu,43,2021-09-24,193733,False,https://open.spotify.com/track/2RMQFfyDZEyF6Bm8lCdEYu,0.863,0.934,9,-1.643,0,0.0577,0.0733,4.46e-06,0.0868,0.744,124.946
Gas Me Up,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,3RCMSJIlIZkvJP4LFGtOtu,42,2021-09-24,149453,False,https://open.spotify.com/track/3RCMSJIlIZkvJP4LFGtOtu,0.727,0.874,0,-2.629,1,0.286,0.00958,0.0,0.141,0.33,177.17
LOVE is,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,3ppdTc5q8S2Mn8FpD97CTQ,46,2021-09-24,207160,False,https://open.spotify.com/track/3ppdTc5q8S2Mn8FpD97CTQ,0.706,0.84,11,-2.728,1,0.108,0.05,0.0,0.0743,0.636,154.034
Chillin' Chillin',ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,6g5nc2mO1KFqd2XbneHshB,45,2021-09-24,206600,False,https://open.spotify.com/track/6g5nc2mO1KFqd2XbneHshB,0.584,0.897,9,-2.795,1,0.108,0.0283,0.0,0.0687,0.701,170.001
Mirror,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,7hwBAcUNcMFqNL2ZdyUexn,44,2021-09-24,258680,False,https://open.spotify.com/track/7hwBAcUNcMFqNL2ZdyUexn,0.489,0.832,4,-3.212,1,0.119,0.0721,0.0,0.19,0.162,159.319
LOCO - English Ver.,ITZY,CRAZY IN LOVE,4U7rGOkJgtxs27H9L93Xli,0QPYsEvaoEJzZLSF5Cq390,49,2021-09-24,191462,False,https://open.spotify.com/track/0QPYsEvaoEJzZLSF5Cq390,0.736,0.867,1,-3.051,1,0.216,0.00781,1.63e-05,0.351,0.534,101.957
WANNABE - Japanese ver.,ITZY,WANNABE (Japanese ver.),6ZmevJEKLGFFddTBwory5Q,1F6lnQwfiEzq7ikNnODitc,51,2021-11-01,191242,False,https://open.spotify.com/track/1F6lnQwfiEzq7ikNnODitc,0.818,0.888,6,-4.227,0,0.0717,0.00955,0.000396,0.178,0.659,122.041
SNEAKERS,ITZY,CHECKMATE,64EGnoCD5NuC41OqQ3E7UK,2WoluqyWzsgRmFCeHeGlnm,65,2022-07-15,179453,False,https://open.spotify.com/track/2WoluqyWzsgRmFCeHeGlnm,0.935,0.849,7,-3.047,1,0.0779,0.0192,0.0,0.0223,0.551,119.986
RACER,ITZY,CHECKMATE,64EGnoCD5NuC41OqQ3E7UK,5v15IF9D4nKZbto4US7Ar1,47,2022-07-15,192893,False,https://open.spotify.com/track/5v15IF9D4nKZbto4US7Ar1,0.619,0.806,8,-1.276,1,0.101,0.0373,8.51e-06,0.362,0.619,171.975
